1,SERVICE ORDER DEVELOPMENT MATRIX,,,,,,,,,,,,
2,,Contractural Requirements (Deliverables),,Schedule F Fees and Proposed Adjustments,,Contractural Time Frames (Project Schedule Development),,,Proposed Project Schedule,,,,
3,,,,"Clinic Project Size (0-2,500SF)",,SLA Framework (Working Days),,,,,,,
4,,Deliverable/Phase,Required,per Contract,Proposed,Phase,Remodel / Expansion,,,,,,
5,Small Remodel,4.2.3.1 A Feasibility: Feasibility Kick-off,X,1100,0,,per Contract,Proposed,,,,,
6,,4.2.3.1 B Feasibility: Feasibility Scope Interview,X,3300,0,Project Kick-off,1,1,,,,,
7,,4.2.3.1 D Feasibility: Scenario Development,X,1650,0,Scope Review,1,1,,,,,
8,,4.2.3.1 C Feasibility: Preliminary Programming,X,3850,0,Site Due Diligence,5,1,,,,,
9,,4.2.3.1 E Feasibility: Utilization Analyses,X,3300,0,Preliminary Floor Plan,5,5,,,,,
10,,4.2.3.2 A Schematic Design Phase: Site Due Diligence,,6050,,Schematic Design Documents,10,5,,,,,
11,,4.2.3.2 B Schematic Design Phase: Programming,X,4950,0,Design Development Documents,10,10,,,,,
12,,4.2.3.2 D Schematic Design Phase: Preliminary Floor Plan,,1650,,Construction Documents,15,15,,,,,
13,,4.2.3.2 E Schematic Design Phase: Schematic Design Documents,,6050,,Permitting/Bidding,15,15,,,,,
14,,4.2.3.3 Design Development Phase,,4950,,,,,,,,,
15,,4.2.3.4 Construction Development Phase,,6050,,,,,,,,,
16,,"4.2.3.5 A Preconstruction, Bidding and Permitting Phase:  Permitting",,1980,,,,,,,,,
17,,"4.2.3.5 B Preconstruction, Bidding and Permitting Phase: Bidding",,1980,,,,,,,,,
18,,4.2.3.6 Construction Phase,,6050,,,,,,,,,
20,,Muncie Family Physicians,Total:,"=SUM(D12:D18,D10)",,,,,,,,,
